ID,part
1001,0
1002,1
1003,0
1004,0
1005,4
1006,3
1007,2
1009,4
1010,3
1011,1
1012,0
1013,4
1014,2
1015,0
1016,3
1017,0
1018,0
1019,1
1020,3
1021,0
1022,2
1023,4
1024,2
1025,2
1026,3
1027,1
1028,3
1029,4
1030,1
1031,0
1032,4
1033,0
1034,0
1035,4
1036,3
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,2
1046,2
1047,1
1048,4
1049,3
1051,3
1052,3
1053,3
1054,0
1055,0
1056,2
1057,1
1058,4
1059,3
1061,1
1062,0
1063,0
1064,0
1065,4
1066,0
1067,3
1068,2
1069,0
1070,3
1071,2
1072,1
1073,3
1074,0
1076,2
1078,3
1079,1
1081,1
1082,2
1083,0
1084,2
1085,4
1086,1
1087,1
1088,1
1089,0
1090,0
1091,1
1092,3
1093,3
1095,3
1096,2
1097,3
1098,3
1099,4
1100,2
1101,2
1102,2
1103,2
1104,1
1105,1
1106,3
1107,2
1108,4
1109,2
1110,0
1111,4
1112,1
1113,0
1114,0
1115,3
1116,1
1117,1
1118,4
1119,2
1120,1
1121,4
1122,2
1123,4
1125,4
1126,3
1127,4
1128,0
1130,0
1131,2
1132,4
1133,4
1134,1
1135,0
1136,2
1137,1
1138,3
1139,2
1140,4
1141,3
1142,1
1143,2
1144,2
1145,2
1146,3
1147,0
1148,3
1149,3
1150,0
1151,1
1152,2
1153,3
1155,1
1157,1
1158,1
1161,3
1162,4
1163,3
1165,0
1167,1
1168,1
1169,4
1170,3
1171,0
1172,3
1173,0
1174,4
1175,0
1177,2
1178,0
1179,0
1180,2
1181,2
1182,0
1183,4
1184,2
1185,3
1186,2
1187,1
1188,4
1189,2
1191,1
1192,1
1193,0
1194,0
1195,1
1196,3
1197,2
1198,3
1199,3
1200,3
1201,0
1202,3
1203,3
1204,1
1205,2
1206,4
1207,1
1208,0
1209,1
1210,4
1211,4
1212,0
1213,3
1214,3
1215,1
1216,3
1218,3
1219,0
1220,0
1221,2
1222,4
1223,0
1224,3
1225,4
1226,1
1227,3
1228,2
1229,0
1230,2
1231,2
1232,1
1233,3
1234,4
1235,2
1236,3
1237,2
1238,4
1239,1
1240,4
1241,1
1242,2
1243,2
1244,4
1245,3
1246,3
1247,3
1249,0
1250,2
1251,0
1252,4
1253,4
1254,1
1255,3
1256,1
1257,0
1258,1
1259,3
1260,3
1261,4
1262,4
1264,0
1265,1
1266,0
1267,3
1268,4
1269,3
1270,2
1271,3
1272,2
1273,1
1274,4
1276,3
1278,3
1279,0
1280,3
1281,4
1282,4
1283,0
1285,4
1286,1
1287,0
1288,1
1289,3
1290,0
1291,4
1292,2
1293,1
1294,3
1295,2
1296,3
1298,4
1299,3
1300,4
1301,4
1302,2
1303,0
1304,0
1305,0
1308,4
1310,2
1311,2
1312,2
1315,4
1316,4
1317,2
1318,0
1319,0
1320,0
1321,0
1322,0
1323,2
1326,4
1327,1
1328,4
1329,4
1330,3
1331,1
1332,0
1333,1
1334,1
1335,0
1336,4
1337,3
1338,4
1339,4
1341,4
1342,1
1343,3
1344,2
1345,0
1346,1
1347,0
1348,2
1349,1
1351,4
1352,4
1353,1
1354,1
1355,2
1356,0
1357,3
1358,2
1359,1
1360,1
1361,4
1362,3
1363,1
1364,1
1366,4
1367,4
1368,4
1369,0
1370,2
1372,1
1373,0
1374,1
1376,4
1377,3
1378,4
1380,4
1381,2
1383,2
1384,2
1385,3
1386,2
1387,2
1388,2
1390,3
1391,4
1393,0
1396,2
1397,4
1399,4
1402,1
1404,2
1405,4
1406,1
1407,2
1408,2
1410,3
1411,1
1412,0
1413,2
1414,4
1415,2
1416,2
